feature,importance
state_mean,0.5714939
drug_std,0.15319435
drug_median,0.08644669
drug_mean,0.07860754
year_y,0.025898658
units_per_rx,0.025126938
state_total,0.012881656
Q1,0.011175115
total_claims,0.009438498
cost_per_day_supply,0.008818822
cost_per_claim,0.0059394897
days_per_claim,0.0056664636
prescriber_count,0.0017750314
total_day_supply,0.0015690819
total_30day_fills,0.0010235196
total_drug_cost,0.000944305
Q3,0.0
Q2,0.0
year_x,0.0
Q4,0.0
prescriber_density,0.0
month_cos,0.0
month_sin,0.0
log_total_claims,0.0
log_total_30day_fills,0.0
log_total_day_supply,0.0
log_prescriber_density,0.0
